tmsp,country,amount,success,PSP,3D_secured,card,success_txnFee,failure_txnFee,noOfAttempts,Month,Day,Hour,Weekday
2019-01-01 00:01:11,1,89,0,3,0,2,3,1.0,1,1,1,0,5
2019-01-01 00:01:17,1,89,1,3,0,2,3,1.0,2,1,1,0,5
2019-01-01 00:02:49,1,238,0,3,1,0,3,1.0,1,1,1,0,5
2019-01-01 00:03:13,1,238,1,3,1,0,3,1.0,2,1,1,0,5
2019-01-01 00:04:33,0,124,0,2,0,0,1,0.5,1,1,1,0,5
2019-01-01 00:06:41,2,282,0,3,0,1,3,1.0,1,1,1,0,5
2019-01-01 00:07:19,2,282,0,2,0,1,1,0.5,2,1,1,0,5
2019-01-01 00:08:46,1,117,1,3,0,1,3,1.0,1,1,1,0,5
2019-01-01 00:09:56,2,174,0,2,0,2,1,0.5,1,1,1,0,5
2019-01-01 00:10:49,2,174,0,2,0,2,1,0.5,2,1,1,0,5
2019-01-01 00:12:15,0,232,0,2,1,0,1,0.5,1,1,1,0,5
2019-01-01 00:12:52,0,232,0,3,1,0,3,1.0,2,1,1,0,5
2019-01-01 00:13:34,0,232,0,3,1,0,3,1.0,3,1,1,0,5
2019-01-01 00:13:44,0,232,0,3,1,0,3,1.0,4,1,1,0,5
2019-01-01 00:14:35,0,232,1,3,1,0,3,1.0,5,1,1,0,5
2019-01-01 00:15:45,1,268,0,2,0,1,1,0.5,1,1,1,0,5
2019-01-01 00:18:18,2,89,0,2,0,1,1,0.5,1,1,1,0,5
2019-01-01 00:18:21,2,89,0,3,0,1,3,1.0,2,1,1,0,5
2019-01-01 00:18:37,2,89,0,1,0,1,5,2.0,3,1,1,0,5
2019-01-01 00:20:53,1,205,0,3,0,1,3,1.0,1,1,1,0,5
2019-01-01 00:20:56,1,205,0,3,0,1,3,1.0,2,1,1,0,5
2019-01-01 00:21:11,1,205,1,1,0,1,5,2.0,3,1,1,0,5
2019-01-01 00:23:48,2,111,0,2,0,1,1,0.5,1,1,1,0,5
2019-01-01 00:24:41,2,111,0,3,0,1,3,1.0,2,1,1,0,5
2019-01-01 00:24:55,2,111,0,3,0,1,3,1.0,3,1,1,0,5
2019-01-01 00:25:47,2,111,0,3,0,1,3,1.0,4,1,1,0,5
2019-01-01 00:26:07,2,111,0,3,0,1,3,1.0,5,1,1,0,5
2019-01-01 00:26:50,2,111,0,3,0,1,3,1.0,6,1,1,0,5
2019-01-01 00:28:56,2,277,1,0,0,0,10,5.0,1,1,1,0,5
2019-01-01 00:30:50,2,137,0,3,0,0,3,1.0,1,1,1,0,5
2019-01-01 00:32:18,2,148,0,1,0,0,5,2.0,1,1,1,0,5
2019-01-01 00:34:04,0,394,0,3,0,0,3,1.0,1,1,1,0,5
2019-01-01 00:34:33,0,394,0,3,0,0,3,1.0,2,1,1,0,5
2019-01-01 00:35:25,0,394,0,3,0,0,3,1.0,3,1,1,0,5
2019-01-01 00:35:34,0,394,1,3,0,0,3,1.0,4,1,1,0,5
2019-01-01 00:36:36,1,84,0,1,0,1,5,2.0,1,1,1,0,5
2019-01-01 00:41:15,0,34,0,1,0,2,5,2.0,1,1,1,0,5
2019-01-01 00:41:25,0,34,0,2,0,2,1,0.5,2,1,1,0,5
2019-01-01 00:41:43,0,34,0,0,0,2,10,5.0,3,1,1,0,5
2019-01-01 00:44:21,2,324,0,3,0,1,3,1.0,1,1,1,0,5
2019-01-01 00:46:07,1,251,0,3,1,1,3,1.0,1,1,1,0,5
2019-01-01 00:46:34,1,251,0,3,1,1,3,1.0,2,1,1,0,5
2019-01-01 00:47:16,1,251,0,3,1,1,3,1.0,3,1,1,0,5
2019-01-01 00:47:39,1,251,0,2,1,1,1,0.5,4,1,1,0,5
2019-01-01 00:51:27,1,100,0,3,0,1,3,1.0,1,1,1,0,5
2019-01-01 00:51:38,1,100,0,3,0,1,3,1.0,2,1,1,0,5
