tmsp,amount,success,3D_secured,success_txnFee,failure_txnFee,noOfAttempts,Month,Day,Hour,country_Germany,country_Switzerland,PSP_Moneycard,PSP_Simplecard,PSP_UK_Card,card_Master,card_Visa,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday
2019-01-01 00:01:11,89,0,0,3,1.0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
2019-01-01 00:01:17,89,1,0,3,1.0,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
2019-01-01 00:02:49,238,0,1,3,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:03:13,238,1,1,3,1.0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:04:33,124,0,0,1,0.5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2019-01-01 00:06:41,282,0,0,3,1.0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:07:19,282,0,0,1,0.5,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
2019-01-01 00:08:46,117,1,0,3,1.0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:09:56,174,0,0,1,0.5,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
2019-01-01 00:10:49,174,0,0,1,0.5,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
2019-01-01 00:12:15,232,0,1,1,0.5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2019-01-01 00:12:52,232,0,1,3,1.0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:13:34,232,0,1,3,1.0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:13:44,232,0,1,3,1.0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:14:35,232,1,1,3,1.0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:15:45,268,0,0,1,0.5,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
2019-01-01 00:18:18,89,0,0,1,0.5,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
2019-01-01 00:18:21,89,0,0,3,1.0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:18:37,89,0,0,5,2.0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
2019-01-01 00:20:53,205,0,0,3,1.0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:20:56,205,0,0,3,1.0,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:21:11,205,1,0,5,2.0,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2019-01-01 00:23:48,111,0,0,1,0.5,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
2019-01-01 00:24:41,111,0,0,3,1.0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:24:55,111,0,0,3,1.0,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:25:47,111,0,0,3,1.0,4,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:26:07,111,0,0,3,1.0,5,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:26:50,111,0,0,3,1.0,6,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
2019-01-01 00:28:56,277,1,0,10,5.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2019-01-01 00:30:50,137,0,0,3,1.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:32:18,148,0,0,5,2.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2019-01-01 00:34:04,394,0,0,3,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:34:33,394,0,0,3,1.0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:35:25,394,0,0,3,1.0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:35:34,394,1,0,3,1.0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019-01-01 00:36:36,84,0,0,5,2.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2019-01-01 00:41:15,34,0,0,5,2.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
